Player,Position,EVO WAR,EVD WAR,WAR
AUSTON MATTHEWS,F,2.94,0.49,8.42
CONNOR MCDAVID,F,4.20,0.10,7.95
LEON DRAISAITL,F,2.11,-0.66,6.88
CALE MAKAR,D,1.07,1.02,6.29
KIRILL KAPRIZOV,F,0.55,0.35,5.89
CHRIS KREIDER,F,1.06,0.35,5.71
FILIP FORSBERG,F,0.80,0.45,5.59
JASON ROBERTSON,F,2.08,-0.01,5.44
JOHNNY GAUDREAU,F,1.82,0.14,5.43
ANDREW MANGIAPANE,F,1.51,0.57,5.32
MATTHEW TKACHUK,F,1.84,0.79,5.05
DAVID PASTRNAK,F,0.76,-0.15,5.00
ALEX DEBRINCAT,F,1.24,0.25,4.99
MITCH MARNER,F,1.47,0.44,4.71
ALEKSANDER BARKOV,F,1.12,0.27,4.66
MATT DUCHENE,F,1.25,-0.25,4.45
VICTOR HEDMAN,D,1.31,0.47,4.39
BROCK NELSON,F,0.77,-0.19,4.34
TROY TERRY,F,0.95,0.10,4.33
PAVEL BUCHNEVICH,F,1.15,0.56,4.32
MIKKO RANTANEN,F,1.24,-0.08,4.32
STEVEN STAMKOS,F,0.87,0.15,4.29
DYLAN LARKIN,F,1.21,-0.07,4.21
ELIAS LINDHOLM,F,0.55,-0.18,4.11
JESPER BRATT,F,2.15,-0.33,4.11
TIMO MEIER,F,2.07,0.17,4.04
ELIAS PETTERSSON,F,0.84,-0.52,3.99
WILLIAM NYLANDER,F,1.19,-0.18,3.96
ROOPE HINTZ,F,0.82,-0.06,3.91
TAGE THOMPSON,F,0.70,-0.54,3.90
JOSH NORRIS,F,-0.09,0.03,3.74
JORDAN KYROU,F,0.75,-0.31,3.58
JACK HUGHES,F,0.77,0.06,3.57
SAM REINHART,F,0.80,0.38,3.51
JARED MCCANN,F,0.61,-0.06,3.47
ROMAN JOSI,D,1.23,-0.27,3.46
ALEX OVECHKIN,F,0.53,-0.92,3.43
VALERI NICHUSHKIN,F,1.15,0.43,3.40
ADAM FOX,D,1.14,0.39,3.28
OLIVER BJORKSTRAND,F,0.59,0.62,3.27
NATHAN MACKINNON,F,1.05,-0.72,3.22
SEBASTIAN AHO,F,0.98,-0.07,3.21
SIDNEY CROSBY,F,1.60,-0.02,3.20
AARON EKBLAD,D,0.55,0.70,3.13
CLAUDE GIROUX,F,1.05,0.37,3.12
BRAD MARCHAND,F,0.99,0.29,3.11
CLAYTON KELLER,F,0.72,-0.22,3.10
CHARLIE MCAVOY,D,0.98,1.34,3.09
PATRICE BERGERON,F,1.30,1.01,3.05
MIKA ZIBANEJAD,F,0.40,0.00,3.03
JOEL ERIKSSON EK,F,0.61,0.47,2.99
JACCOB SLAVIN,D,0.83,1.33,2.97
ANTHONY DUCLAIR,F,1.01,-0.95,2.94
KYLE CONNOR,F,1.03,-1.32,2.92
PHILLIP DANAULT,F,1.95,-0.28,2.88
MATS ZUCCARELLO,F,0.36,-0.10,2.80
JOE PAVELSKI,F,0.73,0.67,2.80
DAVID PERRON,F,0.01,0.46,2.79
KEVIN FIALA,F,1.36,-0.25,2.77
TYLER BERTUZZI,F,1.21,-0.22,2.77
JOHN CARLSON,D,0.79,0.35,2.77
NIKITA KUCHEROV,F,0.65,-0.78,2.75
NINO NIEDERREITER,F,1.51,-0.09,2.72
J.T. MILLER,F,1.02,-0.10,2.68
RYAN JOHANSEN,F,-0.06,-0.15,2.67
NOAH HANIFIN,D,0.42,0.72,2.67
MASON MARCHMENT,F,0.98,0.58,2.65
JAKE DEBRUSK,F,0.84,-0.15,2.64
BRANDON HAGEL,F,0.54,-0.29,2.62
MARK SCHEIFELE,F,0.79,-1.44,2.60
DYLAN STROME,F,0.56,0.12,2.58
DEVON TOEWS,D,0.42,0.91,2.56
CONOR GARLAND,F,0.94,0.41,2.55
NIKOLAJ EHLERS,F,1.24,-0.69,2.52
DMITRY ORLOV,D,0.39,0.61,2.47
NICK SCHMALTZ,F,0.77,-0.04,2.44
EVGENI MALKIN,F,0.68,-0.23,2.44
GABRIEL LANDESKOG,F,-0.06,0.41,2.42
CARTER VERHAEGHE,F,1.73,0.03,2.40
MARCUS FOLIGNO,F,0.23,0.75,2.39
JONATHAN MARCHESSAULT,F,1.07,0.04,2.37
NAZEM KADRI,F,0.78,0.20,2.35
ILYA MIKHEYEV,F,0.53,0.30,2.34
ANTHONY CIRELLI,F,0.26,1.04,2.33
JAKE GUENTZEL,F,1.75,-1.19,2.32
NOAH DOBSON,D,0.26,-0.03,2.32
CHAD RUHWEDEL,D,0.35,0.97,2.29
MICHAEL BUNTING,F,0.84,0.04,2.26
YANNI GOURDE,F,0.55,0.38,2.26
TOMAS HERTL,F,0.82,-0.24,2.24
RYAN O'REILLY,F,-0.06,0.68,2.22
ROSS COLTON,F,0.82,-0.11,2.16
RYAN HARTMAN,F,0.59,-0.44,2.16
TOM WILSON,F,-0.09,0.47,2.15
JARED SPURGEON,D,0.29,0.59,2.14
JESPER FAST,F,0.55,0.59,2.14
PIERRE-LUC DUBOIS,F,1.55,-0.26,2.09
ANDRE BURAKOVSKY,F,0.55,-0.62,2.09
JONATHAN HUBERDEAU,F,0.89,-0.66,2.09
TREVOR ZEGRAS,F,0.36,-0.12,2.08
MATT BOLDY,F,0.39,0.04,2.08
JACK ROSLOVIC,F,0.16,-0.26,2.07
SHAYNE GOSTISBEHERE,D,0.35,-0.64,2.06
NICO HISCHIER,F,0.74,0.15,2.06
KYLE OKPOSO,F,0.09,0.19,2.05
ANZE KOPITAR,F,1.13,0.36,2.02
BRAYDEN POINT,F,0.84,-0.64,2.02
BO HORVAT,F,0.21,-0.26,2.02
JEFF SKINNER,F,1.54,-0.96,1.98
TIM STUTZLE,F,-0.29,0.01,1.96
TRAVIS SANHEIM,D,0.78,0.76,1.95
MICHAEL AMADIO,F,0.27,0.47,1.94
SETH JARVIS,F,0.67,0.25,1.93
ROBERT THOMAS,F,0.97,-0.23,1.93
MIKE MATHESON,D,0.68,-0.04,1.91
BRANDON SAAD,F,0.56,-0.62,1.90
ARTTURI LEHKONEN,F,0.87,0.60,1.90
EVGENY DADONOV,F,0.80,0.18,1.90
JONAS BRODIN,D,0.09,1.47,1.89
JUSTIN FAULK,D,0.23,-0.06,1.88
JOHN TAVARES,F,1.50,-0.30,1.86
LUCAS RAYMOND,F,0.52,-0.43,1.86
CHRIS TANEV,D,-0.47,1.13,1.82
LOGAN COUTURE,F,1.02,-0.21,1.80
EVGENY KUZNETSOV,F,0.30,-0.18,1.79
DANTON HEINEN,F,0.70,0.27,1.79
ALEXIS LAFRENIERE,F,0.17,0.00,1.77
TAYLOR HALL,F,1.10,0.24,1.77
ANDERS LEE,F,0.79,-0.87,1.77
JOSH MORRISSEY,D,0.69,0.44,1.76
MORITZ SEIDER,D,0.73,0.55,1.76
PAUL STASTNY,F,1.00,0.27,1.75
ANDREW COPP,F,0.63,0.17,1.74
TEUVO TERAVAINEN,F,0.44,-0.45,1.74
NICK JENSEN,D,0.01,0.64,1.73
ADRIAN KEMPE,F,1.07,-0.83,1.73
K'ANDRE MILLER,D,-0.31,1.12,1.71
MATHIEU JOSEPH,F,-0.03,0.39,1.71
JEAN-GABRIEL PAGEAU,F,0.20,0.35,1.69
RASMUS SANDIN,D,0.71,0.19,1.68
MACKENZIE WEEGAR,D,1.49,0.38,1.67
ADAM HENRIQUE,F,0.87,0.10,1.64
SONNY MILANO,F,0.41,0.34,1.64
NICK SUZUKI,F,-0.27,0.03,1.64
SAM BENNETT,F,0.96,-0.23,1.64
MAX PACIORETTY,F,0.53,-0.07,1.62
JONAS SIEGENTHALER,D,-0.29,1.39,1.61
ISAC LUNDESTROM,F,-0.48,0.38,1.60
MIRO HEISKANEN,D,0.74,1.02,1.60
JORDAN EBERLE,F,0.66,-0.35,1.60
VLADIMIR TARASENKO,F,0.44,-1.02,1.59
COLE CAUFIELD,F,0.80,-0.90,1.57
TIMOTHY LILJEGREN,D,0.60,0.30,1.57
ERIK KARLSSON,D,1.07,-0.77,1.57
BRETT PESCE,D,0.67,-0.19,1.56
DRAKE BATHERSON,F,0.56,-0.33,1.53
QUINN HUGHES,D,0.57,-0.29,1.53
MICHAEL RAFFL,F,0.27,0.83,1.51
VIKTOR ARVIDSSON,F,1.32,-0.12,1.51
BRETT KULAK,D,-0.07,1.00,1.47
ONDREJ PALAT,F,0.76,0.08,1.45
VINNIE HINOSTROZA,F,-0.02,0.26,1.44
GARNET HATHAWAY,F,0.55,0.53,1.43
YEGOR SHARANGOVICH,F,0.38,-0.07,1.43
TANNER JEANNOT,F,0.21,-0.17,1.42
PIERRE ENGVALL,F,0.77,0.25,1.42
RICKARD RAKELL,F,0.68,-0.06,1.40
BLAKE COLEMAN,F,0.95,0.36,1.40
DILLON DUBE,F,0.50,-0.23,1.39
RYAN STROME,F,0.49,0.05,1.38
VLADISLAV NAMESTNIKOV,F,0.29,0.30,1.38
GUSTAV FORSLING,D,0.64,-0.06,1.37
EVAN RODRIGUES,F,1.15,0.42,1.35
ANDREI SVECHNIKOV,F,1.53,-0.62,1.35
DEREK RYAN,F,0.26,0.33,1.34
LAWSON CROUSE,F,0.06,0.31,1.33
MATT GRZELCYK,D,0.30,0.83,1.33
JAKUB VRANA,F,0.17,-0.24,1.32
ZACH WHITECLOUD,D,-0.07,0.69,1.32
CRAIG SMITH,F,0.64,0.11,1.32
BRAYDEN SCHENN,F,-0.03,-0.46,1.32
DMITRY KULIKOV,D,0.07,0.72,1.30
EVAN BOUCHARD,D,1.02,-0.95,1.27
NATHAN WALKER,F,0.13,0.20,1.27
ADAM PELECH,D,0.45,1.09,1.26
JUSTIN DANFORTH,F,0.18,0.09,1.26
ALEX TUCH,F,0.67,0.37,1.25
BOONE JENNER,F,0.39,-0.67,1.25
PATRIK LAINE,F,-0.04,-0.55,1.25
ANDREAS JOHNSSON,F,1.06,-0.54,1.23
TJ BRODIE,D,-0.57,0.84,1.22
CAM FOWLER,D,0.58,0.30,1.22
RADKO GUDAS,D,0.32,0.94,1.22
J.T. COMPHER,F,-0.10,0.16,1.22
BRADY TKACHUK,F,1.14,-0.87,1.21
JACK EICHEL,F,-0.07,0.12,1.20
ESA LINDELL,D,-0.74,1.00,1.20
ADAM BOQVIST,D,0.08,-0.37,1.19
JAMES VAN RIEMSDYK,F,0.39,-0.45,1.16
RASMUS ANDERSSON,D,0.70,-0.32,1.15
BRYAN RUST,F,0.30,-0.23,1.15
REILLY SMITH,F,0.66,-0.31,1.15
MARK STONE,F,0.60,0.13,1.15
GERRY MAYHEW,F,-0.22,0.17,1.14
JOEL FARABEE,F,0.12,-0.38,1.14
YAKOV TRENIN,F,0.24,0.27,1.14
EELI TOLVANEN,F,0.26,0.51,1.13
ANTON LUNDELL,F,0.18,0.00,1.12
BRANDON CARLO,D,-0.89,0.74,1.11
COLTON PARAYKO,D,-0.34,0.87,1.09
CONOR SHEARY,F,0.00,-0.24,1.09
ARTEMI PANARIN,F,0.56,-1.06,1.08
THOMAS CHABOT,D,0.50,0.09,1.07
FRANK VATRANO,F,0.13,0.06,1.06
OLIVER KYLINGTON,D,0.65,-0.21,1.06
RASMUS DAHLIN,D,-0.01,-0.03,1.06
JACOB PETERSON,F,0.41,-0.35,1.05
KRIS LETANG,D,0.38,-0.49,1.04
T.J. OSHIE,F,-0.11,0.17,1.04
JESPERI KOTKANIEMI,F,0.29,-0.13,1.04
RUDOLFS BALCERS,F,0.37,0.27,1.03
DAVID KAMPF,F,-0.36,0.57,1.03
TREVOR VAN RIEMSDYK,D,0.00,0.64,1.02
RYAN LOMBERG,F,0.25,0.20,1.01
VASILY PODKOLZIN,F,0.18,-0.01,1.01
JEFF PETRY,D,0.48,0.07,1.01
DARNELL NURSE,D,0.75,0.51,0.99
VICTOR RASK,F,0.12,0.26,0.99
JACOB BRYSON,D,0.12,0.45,0.99
CARSON SOUCY,D,-0.31,0.46,0.98
ALEX EDLER,D,0.71,0.13,0.97
VLADISLAV GAVRIKOV,D,0.92,0.14,0.97
ERIK HAULA,F,-0.03,0.08,0.95
RYAN PULOCK,D,0.32,0.01,0.92
TANNER PEARSON,F,0.60,0.29,0.92
JOHAN LARSSON,F,0.09,0.49,0.92
ADAM LOWRY,F,0.36,0.31,0.92
COREY PERRY,F,0.58,0.40,0.90
ERIK JOHNSON,D,0.44,0.14,0.90
DANTE FABBRO,D,0.20,0.49,0.90
ZACH WERENSKI,D,0.69,-0.19,0.90
IVAN BARBASHEV,F,0.13,-1.13,0.89
BRETT HOWDEN,F,0.03,0.03,0.89
JORDAN STAAL,F,0.31,0.43,0.88
OLIVER EKMAN-LARSSON,D,0.47,0.24,0.88
ALEX NEWHOOK,F,-0.03,0.04,0.87
PIERRE-EDOUARD BELLEMARE,F,-0.01,0.51,0.87
TONY DEANGELO,D,0.64,-0.82,0.87
BRENT BURNS,D,0.19,-0.02,0.86
