Player,Position,Team,Season  ,TOI,EV TOI,EVO WAR,EVD WAR,EV Shoot WAR,PP TOI,PP WAR,PP Shoot WAR,SH TOI,SH WAR,SH Shoot WAR,Draw WAR,Take WAR,Pens WAR,WAR
CONNOR MCDAVID,F,EDM,22-23,"1,022.85",767.63,1.63,-0.05,1.92,196.90,0.84,1.25,58.32,-0.05,0.00,0.40,0.20,0.60,6.13
DAVID PASTRNAK,F,BOS,22-23,854.88,679.07,0.68,-0.03,1.83,173.48,0.02,1.20,2.33,0.00,-0.04,0.23,-0.01,0.22,3.90
JARED MCCANN,F,SEA,22-23,624.27,503.27,0.08,0.28,2.89,102.33,0.25,0.08,18.67,-0.01,0.00,0.05,0.24,0.28,3.87
JACK HUGHES,F,N.J,22-23,868.95,713.42,0.95,0.44,1.31,151.83,0.32,0.10,3.70,0.01,-0.02,0.32,0.41,0.73,3.84
MATTHEW TKACHUK,F,FLA,22-23,851.02,641.97,1.54,0.15,0.92,186.77,1.22,-0.23,22.28,-0.01,-0.09,0.15,-0.09,0.07,3.57
JASON ROBERTSON,F,DAL,22-23,851.47,706.18,1.41,0.31,1.74,145.00,-0.13,0.16,0.28,0.00,0.00,-0.26,0.25,-0.01,3.50
LEON DRAISAITL,F,EDM,22-23,955.75,727.53,0.58,-0.58,1.01,191.27,0.95,1.43,36.95,-0.06,-0.11,0.10,0.16,0.26,3.48
MARK SCHEIFELE,F,WPG,22-23,911.60,758.78,0.64,-0.20,1.23,146.43,0.54,0.67,6.38,-0.01,0.00,0.12,0.36,0.48,3.35
BO HORVAT,F,VAN,22-23,895.85,652.15,0.63,-0.03,1.57,166.47,0.21,0.72,77.23,-0.15,0.03,0.02,0.28,0.29,3.27
BRAYDEN POINT,F,T.B,22-23,843.80,673.03,0.87,0.09,1.14,169.38,0.08,0.66,1.38,0.00,0.00,-0.03,0.44,0.41,3.24
JESPER BRATT,F,N.J,22-23,765.15,623.07,0.88,0.36,0.91,139.88,0.48,0.43,2.20,0.00,0.00,-0.25,0.39,0.14,3.20
AUSTON MATTHEWS,F,TOR,22-23,863.80,692.58,1.49,-0.25,0.18,169.07,0.47,0.74,2.15,0.00,-0.02,0.18,0.26,0.44,3.06
TAGE THOMPSON,F,BUF,22-23,816.43,617.88,0.70,-0.60,1.16,156.08,-0.16,1.71,42.47,-0.02,0.10,0.02,0.12,0.14,3.04
TIMO MEIER,F,S.J,22-23,881.35,732.10,1.01,0.05,0.16,141.43,0.13,1.14,7.82,0.02,0.00,0.21,0.27,0.48,2.99
ADAM FOX,D,NYR,22-23,"1,117.30",834.82,1.20,0.63,0.62,182.97,0.58,-0.20,99.52,-0.21,-0.04,0.06,0.24,0.31,2.88
GABRIEL VILARDI,F,L.A,22-23,691.23,554.92,0.14,0.37,1.07,135.37,0.53,0.05,0.95,0.00,0.00,0.31,0.24,0.55,2.71
ELIAS PETTERSSON,F,VAN,22-23,818.08,593.07,0.81,0.10,1.30,155.13,0.66,-0.50,69.88,-0.07,-0.18,0.13,0.35,0.48,2.60
MIKKO RANTANEN,F,COL,22-23,964.80,767.53,0.22,-0.59,2.40,195.18,0.21,0.15,2.08,0.00,0.00,0.21,-0.02,0.18,2.56
ROOPE HINTZ,F,DAL,22-23,664.42,516.60,0.34,-0.02,0.85,111.38,0.81,0.19,36.43,0.15,0.21,-0.16,0.19,0.02,2.55
ERIK KARLSSON,D,S.J,22-23,"1,123.32",958.40,1.03,-0.77,1.11,154.23,0.31,0.29,10.68,0.02,0.00,0.10,0.40,0.49,2.49
PATRICE BERGERON,F,BOS,22-23,773.57,536.72,0.85,0.42,0.38,155.23,0.84,0.00,81.62,0.07,-0.07,-0.18,0.17,-0.01,2.48
WILLIAM NYLANDER,F,TOR,22-23,838.95,651.57,0.82,-0.35,0.92,176.90,0.72,0.10,10.48,0.03,-0.05,0.03,0.25,0.28,2.46
MITCH MARNER,F,TOR,22-23,940.33,652.97,0.26,0.18,0.90,176.17,0.55,0.47,111.20,0.05,0.02,-0.19,0.19,0.00,2.41
KIRILL KAPRIZOV,F,MIN,22-23,876.95,705.97,0.24,0.12,0.43,170.02,0.45,0.69,0.97,0.00,0.00,0.36,0.02,0.39,2.32
CLAUDE GIROUX,F,OTT,22-23,798.78,646.60,0.79,-0.02,0.88,127.42,0.39,-0.01,24.77,-0.01,0.00,0.03,0.22,0.25,2.26
